ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM
com.itextpdf.text.pdf.hyphenation.PatternConsumer,3,1,0,0,3,3,2,3
com.itextpdf.text.pdf.FloatLayout,9,1,0,7,38,0,3,8
com.itextpdf.text.pdf.CFFFont$RangeItem,3,2,0,3,8,0,2,3
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$TextMoveStartNextLineWithLeading,2,1,0,6,10,0,1,2
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$TextMoveStartNextLine,3,1,0,6,12,3,3,1
com.itextpdf.text.Jpeg2000,7,3,0,4,20,13,1,4
com.itextpdf.text.pdf.PdfLine,28,1,0,6,77,82,4,16
com.itextpdf.text.pdf.parser.PdfImageObject$TrackingFilter,3,1,0,5,4,1,1,1
com.itextpdf.text.pdf.PdfContents,2,4,0,11,25,0,5,0
com.itextpdf.text.pdf.PdfXConformanceException,2,5,0,1,4,1,3,2
com.itextpdf.awt.geom.gl.Crossing$QuadCurve,5,1,0,1,7,0,1,1
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextRenderMode,3,1,0,6,7,3,1,1
com.itextpdf.text.pdf.PdfWriter$PdfBody$PdfCrossReference,10,1,0,1,23,0,1,10
com.itextpdf.text.pdf.PdfContentByte,195,1,4,58,445,7441,54,164
com.itextpdf.text.pdf.codec.wmf.MetaState,36,1,0,7,69,422,2,36
com.itextpdf.text.ExceptionConverter,10,4,0,0,21,3,70,10
com.itextpdf.text.pdf.qrcode.Version,13,1,0,5,27,46,2,8
com.itextpdf.text.pdf.codec.wmf.MetaObject,3,1,3,0,4,0,5,3
